BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,cluster_gmm_0,cluster_gmm_1,cluster_gmm_2,cluster_gmm_3
-0.819705236457054,0.818182,-0.6874799315244094,-0.5979285147843686,-0.4401120873033218,-0.5595745976141618,0.166667,0.0,0.083333,0.0,-0.6112006965329413,-0.6076478560490345,1000.0,-0.8292682153707388,-0.6557459471032164,0.0,12,0,1,0,0
1.185766685734738,1.0,0.2601670523558983,0.8134507901142913,-0.6954558276326631,-0.5595745976141618,1.0,1.0,0.0,0.0,-0.6112006965329413,0.0802226270726944,7500.0,-0.4007622551430756,0.4333656342675844,0.0,12,0,1,0,0
-0.18493737120001796,1.0,-0.7984957193581825,-0.5687213949033869,-0.6954558276326631,-0.5595745976141618,0.083333,0.083333,0.0,0.0,-0.6112006965329413,-0.6764349043612073,1200.0,-0.3433908299952696,-0.42067189349548556,0.0,12,1,0,0,0
0.6257620826777763,1.0,1.0433037390507935,-0.5979285147843686,2.873146919812873,-0.5595745976141618,0.666667,0.0,0.583333,0.0,-0.6112006965329413,-0.19492556617599716,1800.0,0.39248501453727613,4.407690701333391,0.0,12,0,0,0,1
0.6370582624167985,1.0,-0.2109789177492218,-0.5979285147843686,0.4720592617977213,-0.5595745976141618,1.0,0.0,1.0,0.0,-0.6112006965329413,0.0802226270726944,2300.0,-0.3426461895921084,0.22068817817102523,0.0,12,0,1,0,0
-0.023786832515906978,1.0,0.3836546390243977,0.6095850933450397,-0.16014400304284906,-0.5595745976141618,0.333333,0.083333,0.25,0.0,-0.6112006965329413,-0.4012867111125158,7000.0,-0.33325202905464507,-0.27068882656702176,0.0,12,0,1,0,0
-0.7287365956778012,0.545455,0.9710456040980303,1.741561787682259,-0.6954558276326631,-0.5595745976141618,0.166667,0.166667,0.0,0.0,-0.6112006965329413,-0.5388608077368616,11000.0,0.1525839030651498,-0.7432891167088443,0.0,12,0,1,0,0
0.20354112564959576,1.0,0.4656301508719307,-0.5979285147843686,1.7672997525752352,-0.5595745976141618,1.0,0.0,1.0,0.0,-0.6112006965329413,0.0802226270726944,1200.0,0.06951671752686872,3.883987688166489,0.0,12,0,0,1,0
-0.33767742607566514,0.818182,1.2654751330909266,2.125963994215829,-0.6954558276326631,-0.5595745976141618,0.25,0.25,0.0,0.0,-0.6112006965329413,-0.33249966280034293,2000.0,-0.3155719351167929,-0.6199331896165221,0.0,12,0,1,0,0
0.38642076033332357,1.0,3.678474589028005,3.966103818967299,1.2256712484552614,-0.5595745976141618,1.0,0.25,0.916667,0.0,-0.6112006965329413,1.0432413034431147,3000.0,-0.4148359831314955,0.12729625553368198,0.25,12,0,1,0,0
